Logging results to [1m/home/ros/vonduke-builds/AKSUMAEL/runs/detect/data/models/aksumael_mc[0m
      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

[K       1/30     0.703G      2.762      6.019      1.959         25        320: 67% ━━━━━━━━──── 67/100 7.8it/s 11.7s<4.2s
[K       1/30     0.703G      2.758      6.005      1.957         44        320: 68% ━━━━━━━━──── 68/100 8.1it/s 11.9s<4.0s
[K       1/30     0.703G      2.749      5.989      1.952         36        320: 69% ━━━━━━━━──── 69/100 7.7it/s 12.0s<4.0s
[K       1/30     0.703G      2.737      5.977      1.943         31        320: 70% ━━━━━━━━──── 70/100 7.9it/s 12.1s<3.8s
[K       1/30     0.703G      2.728      5.966       1.94         29        320: 71% ━━━━━━━━╸─── 71/100 7.9it/s 12.3s<3.7s
[K       1/30     0.703G      2.723      5.959      1.938         30        320: 72% ━━━━━━━━╸─── 72/100 7.6it/s 12.4s<3.7s
[K       1/30     0.703G       2.72      5.957      1.937         27        320: 73% ━━━━━━━━╸─── 73/100 7.9it/s 12.5s<3.4s
[K       1/30     0.703G      2.705      5.946      1.931         26        320: 74% ━━━━━━━━╸─── 74/100 8.1it/s 12.6s<3.2s
[K       1/30     0.703G      2.697      5.937      1.928         27        320: 75% ━━━━━━━━━─── 75/100 7.9it/s 12.8s<3.2s
[K       1/30     0.703G      2.685      5.927      1.922         33        320: 76% ━━━━━━━━━─── 76/100 8.0it/s 12.9s<3.0s
[K       1/30     0.703G      2.676      5.919      1.919         28        320: 77% ━━━━━━━━━─── 77/100 8.1it/s 13.0s<2.9s
[K       1/30     0.703G      2.672       5.91      1.919         32        320: 78% ━━━━━━━━━─── 78/100 7.7it/s 13.2s<2.8s
[K       1/30     0.703G      2.668        5.9      1.917         44        320: 79% ━━━━━━━━━─── 79/100 8.0it/s 13.3s<2.6s
[K       1/30     0.703G      2.668      5.897      1.915         37        320: 80% ━━━━━━━━━╸── 80/100 8.1it/s 13.4s<2.5s
[K       1/30     0.703G      2.668      5.896      1.914         51        320: 81% ━━━━━━━━━╸── 81/100 7.8it/s 13.5s<2.4s
[K       1/30     0.703G      2.657      5.883      1.908         29        320: 82% ━━━━━━━━━╸── 82/100 7.8it/s 13.7s<2.3s
[K       1/30     0.703G      2.658      5.877      1.907         38        320: 83% ━━━━━━━━━╸── 83/100 8.1it/s 13.8s<2.1s
